Breed;Age (Years);Weight (kg);Color;Gender
Great Dane;9;14;White;Male
Papillon;9;52;Tricolor;Male
Labrador Retriever;7;9;Tricolor;Male
Dachshund;4;16;Black and White;Male
Shih Tzu;3;45;Merle;Female
Alaskan Malamute;4;31;Merle;Male
Golden Retriever;2;14;Red;Female
Vizsla;11;30;Blue;Female
Rottweiler;5;14;Spotted;Male
Havanese;1;33;Brindle;Male
Cavalier King Charles Spaniel;9;30;Brown;Male
Doberman Pinscher;3;50;Blue;Male
French Bulldog;7;9;Black and Tan;Female
Jack Russell Terrier;8;35;Blue;Male
Akita;13;52;Spotted;Male
Pug;14;38;Red;Male
Chinese Shar-Pei;11;58;Tan;Male
Miniature Schnauzer;8;34;Cream;Male
Whippet;9;34;Black and White;Male
West Highland White Terrier;14;25;Bicolor;Female
Miniature Schnauzer;1;58;Black;Male
Great Dane;3;21;Brindle;Male
Saint Bernard;14;36;Black;Female
Dogo Argentino;2;43;Merle;Female
Border Collie;7;6;White;Female
Rottweiler;4;6;Blue;Male
Bull Terrier;11;50;Tan;Male
West Highland White Terrier;7;35;Cream;Male
Irish Setter;8;46;Sable;Female
Poodle;10;57;Tricolor;Male
Great Dane;5;42;Tricolor;Male
Alaskan Malamute;1;47;Merle;Female
Cocker Spaniel;9;6;Gray;Male
Dachshund;3;10;Black;Female
Dachshund;13;19;Black and Tan;Female
Boxer;11;14;Tan;Female
Bichon Frise;4;26;Tan;Female
Saint Bernard;3;8;Brindle;Male
Pembroke Welsh Corgi;9;35;Cream;Female
Shiba Inu;1;28;Black;Male
Bloodhound;7;22;Brindle;Female
Schnauzer;14;15;Black and White;Male
Chinese Shar-Pei;7;52;Gray;Female
Pomeranian;10;53;Black and White;Male
Bichon Frise;12;11;Merle;Male
Shetland Sheepdog;6;11;Black;Female
Chesapeake Bay Retriever;14;26;Bicolor;Male
Airedale Terrier;14;40;Brown;Male
Belgian Malinois;10;48;Spotted;Male
Chinese Shar-Pei;8;32;Gray;Female
Alaskan Malamute;4;21;Brindle;Male
Saint Bernard;7;43;Black and Tan;Male
Belgian Malinois;9;41;White;Male
Havanese;14;12;Black;Male
Basenji;6;19;Red;Male
Papillon;14;42;Cream;Male
Havanese;3;9;Tan;Female
Yorkshire Terrier;9;36;Blue;Male
Belgian Malinois;10;13;White;Male
Samoyed;2;40;Brown;Female
Jack Russell Terrier;11;12;Cream;Male
Australian Shepherd;14;28;Tricolor;Female
Weimaraner;5;8;Black;Female
German Shepherd;1;48;Brindle;Male
Cavalier King Charles Spaniel;10;22;Gray;Female
Vizsla;13;45;Black;Female
West Highland White Terrier;5;58;Brindle;Female
Labrador Retriever;8;32;Blue;Male
Cocker Spaniel;1;41;Black and Tan;Female
Beagle;10;41;Cream;Female
Pekingese;13;22;Brown;Female
French Bulldog;2;38;Brown;Male
Schnauzer;5;45;Tan;Female
Pekingese;1;50;Cream;Female
Pug;1;45;Brown;Female
French Bulldog;10;24;Black and Tan;Male
Border Collie;1;36;Brown;Female
Beagle;4;55;Red;Female
Belgian Malinois;9;27;Blue;Male
Vizsla;7;8;Spotted;Male
Pembroke Welsh Corgi;3;49;Cream;Male
Doberman Pinscher;1;5;Black;Male
Alaskan Malamute;10;37;Blue;Female
French Bulldog;7;10;Bicolor;Male
Boston Terrier;6;45;Black;Male
Bichon Frise;13;12;Sable;Male
Great Dane;7;10;Black and White;Female
Chihuahua;12;20;Blue;Female
Chihuahua;10;50;Black;Male
Pug;2;29;Merle;Female
Saint Bernard;5;47;Sable;Male
Dogo Argentino;5;16;Merle;Female
Bloodhound;3;5;Gray;Female
Alaskan Malamute;10;38;Red;Female
Bichon Frise;12;39;Red;Female
Bloodhound;11;37;Red;Female
Havanese;3;51;Black;Male
Boston Terrier;12;7;Black and Tan;Male
Havanese;13;36;Black and Tan;Male
Akita;5;21;Black and White;Female
Shiba Inu;10;11;Tan;Female
German Shepherd;11;15;Black and White;Male
Pomeranian;4;27;Sable;Male
Shetland Sheepdog;4;59;Bicolor;Male
Bulldog;7;19;Brown;Female
Samoyed;12;40;Sable;Male
Basenji;11;57;Spotted;Female
Bull Terrier;1;8;Gray;Female
Maltese;9;47;Black and Tan;Male
Pomeranian;10;53;Brindle;Male
Doberman Pinscher;6;56;Black and White;Male
Papillon;11;43;Brindle;Female
Border Collie;6;47;Brown;Female
Yorkshire Terrier;3;27;Tricolor;Female
Poodle;1;50;Gray;Male
Chesapeake Bay Retriever;5;50;Blue;Male
Pomeranian;1;59;Black;Female
Miniature Schnauzer;6;42;Black;Male
Dachshund;3;21;White;Female
Pekingese;14;38;Sable;Male
Pembroke Welsh Corgi;4;25;Bicolor;Male
Cavalier King Charles Spaniel;3;44;Spotted;Male
Rottweiler;10;39;Gray;Male
Cavalier King Charles Spaniel;9;47;Merle;Male
West Highland White Terrier;10;59;Spotted;Female
Shetland Sheepdog;1;37;Black and Tan;Female
Rottweiler;7;38;Black and Tan;Male
Bernese Mountain Dog;1;54;White;Female
Airedale Terrier;10;53;Black and White;Female
Cocker Spaniel;2;54;Spotted;Male
Bernese Mountain Dog;4;36;Tan;Male
Samoyed;6;26;Blue;Female
West Highland White Terrier;2;5;Blue;Male
French Bulldog;13;27;Sable;Male
Papillon;3;22;Tricolor;Female
Boston Terrier;14;5;Tan;Female
Rottweiler;12;42;Brindle;Female
Cocker Spaniel;1;50;Blue;Male
Vizsla;6;59;Bicolor;Male
Chesapeake Bay Retriever;7;52;Brown;Female
Airedale Terrier;13;13;Bicolor;Female
Bernese Mountain Dog;10;59;Bicolor;Male
Rottweiler;2;53;Tan;Female
Vizsla;13;46;Black and White;Male
Boston Terrier;3;38;Blue;Female
Akita;7;26;Black and Tan;Male
Pug;7;42;Spotted;Male
Samoyed;13;37;Tricolor;Female
Basenji;8;21;Black and Tan;Male
Bull Terrier;1;22;Black;Male
Chesapeake Bay Retriever;6;31;Brindle;Male
Chesapeake Bay Retriever;5;10;Blue;Female
German Shepherd;8;48;Black;Female
Boxer;14;27;Sable;Female
Havanese;12;9;Black;Female
Bulldog;5;14;Black;Female
Maltese;7;26;Brindle;Female
Beagle;7;48;Brindle;Female
Chesapeake Bay Retriever;13;26;Spotted;Female
Whippet;9;30;Black and Tan;Male
Maltese;7;20;Sable;Female
Papillon;1;38;Bicolor;Male
Dachshund;3;55;Merle;Female
Pekingese;1;29;Red;Male
Jack Russell Terrier;1;10;Tricolor;Male
Great Dane;9;11;Red;Female
Maltese;13;18;Blue;Male
French Bulldog;5;32;Black;Male
Miniature Schnauzer;1;17;Red;Female
Shetland Sheepdog;2;7;Black and White;Male
Beagle;1;25;Brown;Male
Boston Terrier;9;59;Gray;Female
Shetland Sheepdog;6;5;White;Male
Bichon Frise;3;24;Spotted;Female
Border Collie;9;40;Cream;Female
Bernese Mountain Dog;1;27;Red;Female
Labrador Retriever;6;24;Merle;Male
Irish Setter;11;6;Spotted;Female
French Bulldog;1;35;Black and White;Female
Dogo Argentino;9;50;Black and White;Male
Vizsla;12;40;Brown;Female
Rottweiler;6;17;Tricolor;Female
Pug;7;56;Cream;Female
Pembroke Welsh Corgi;11;56;Tan;Male
Pembroke Welsh Corgi;11;30;Spotted;Male
Airedale Terrier;12;54;Tricolor;Male
Golden Retriever;11;22;Bicolor;Female
Poodle;14;21;Tan;Male
Doberman Pinscher;10;20;Merle;Female
Chihuahua;5;59;Black and Tan;Male
Poodle;5;30;Cream;Female
Chihuahua;14;20;Tricolor;Female
Doberman Pinscher;3;45;Sable;Male
Belgian Malinois;5;32;Tricolor;Male
Irish Setter;1;15;Merle;Male
Airedale Terrier;9;13;Merle;Female
Cavalier King Charles Spaniel;2;54;White;Male
Akita;8;29;Spotted;Female
French Bulldog;12;25;Brindle;Female
Labrador Retriever;14;49;Gray;Female
Pekingese;5;20;Tan;Female
Airedale Terrier;2;35;Merle;Female
Airedale Terrier;13;56;Gray;Male
Airedale Terrier;1;30;Black and Tan;Male
Chinese Shar-Pei;10;41;White;Male
Labrador Retriever;6;14;Merle;Male
Doberman Pinscher;2;51;Black;Female
Pekingese;12;36;White;Male
Bichon Frise;9;40;Black;Male
Akita;2;14;Black;Male
Whippet;7;14;Black and White;Male
Chinese Shar-Pei;1;21;Brindle;Female
Weimaraner;1;44;Merle;Male
Shetland Sheepdog;3;18;Black and White;Male
Cavalier King Charles Spaniel;11;38;Gray;Male
Vizsla;12;53;Brindle;Male
Doberman Pinscher;1;45;Bicolor;Male
Bloodhound;8;38;Brown;Male
Australian Shepherd;3;52;Black and White;Male
German Shepherd;8;58;Black and White;Female
Australian Shepherd;6;48;Black;Male
Belgian Malinois;14;50;Cream;Male
Pomeranian;5;24;Gray;Female
Samoyed;1;17;Black and Tan;Female
Doberman Pinscher;8;14;Gray;Male
Airedale Terrier;10;46;Brown;Female
Dogo Argentino;9;21;Blue;Male
Pomeranian;2;40;Black and Tan;Male
Shih Tzu;4;10;Merle;Female
Whippet;3;42;Cream;Male
Jack Russell Terrier;13;38;Red;Male
Golden Retriever;3;40;Red;Female
Pembroke Welsh Corgi;6;10;Cream;Female
Boxer;8;31;Cream;Female
Whippet;2;34;Black and White;Male
Basenji;6;54;Black and White;Female
Chinese Shar-Pei;4;37;Black;Male
Jack Russell Terrier;10;51;Red;Male
Bulldog;6;17;Tricolor;Female
Dachshund;12;40;Brindle;Male
Rottweiler;7;48;Sable;Female
Beagle;14;50;Bicolor;Male
Airedale Terrier;4;9;Spotted;Female
Yorkshire Terrier;7;47;Blue;Female
Yorkshire Terrier;8;10;Spotted;Male
Yorkshire Terrier;6;46;Sable;Female
Airedale Terrier;13;30;Merle;Female
Vizsla;7;30;Black and White;Female
Miniature Schnauzer;13;59;Merle;Male
Golden Retriever;11;58;Bicolor;Male
Poodle;13;8;Blue;Female
Pekingese;10;49;Sable;Female
Vizsla;10;32;Black;Male
Weimaraner;6;30;Blue;Male
West Highland White Terrier;8;49;Red;Male
Pekingese;6;54;Spotted;Male
Bichon Frise;4;46;Bicolor;Female
Doberman Pinscher;11;23;Black and Tan;Male
Pembroke Welsh Corgi;14;15;Gray;Male
Rottweiler;11;31;Black and Tan;Male
Yorkshire Terrier;11;25;Black and White;Male
Maltese;4;37;Black and Tan;Male
French Bulldog;5;17;Black;Male
Lhasa Apso;1;22;Black;Female
Pembroke Welsh Corgi;2;34;Sable;Male
Whippet;4;14;Red;Male
Australian Shepherd;10;10;Brindle;Male
French Bulldog;13;7;Black;Male
Weimaraner;13;6;Red;Female
Bull Terrier;4;40;Bicolor;Female
Shetland Sheepdog;4;24;Brown;Male
Pekingese;9;44;Sable;Male
Dogo Argentino;11;25;Brown;Male
French Bulldog;9;42;Black;Female
Pembroke Welsh Corgi;4;59;Cream;Male
Australian Shepherd;9;16;Black and White;Male
Samoyed;14;23;Sable;Male
Border Collie;14;39;Tricolor;Male
Australian Shepherd;14;59;Cream;Male
Chesapeake Bay Retriever;10;30;Red;Female
Pembroke Welsh Corgi;13;23;Brown;Female
Poodle;5;47;Sable;Female
Cavalier King Charles Spaniel;1;48;White;Male
Bulldog;14;50;Merle;Female
Shiba Inu;11;53;Brindle;Female
Vizsla;7;14;Gray;Female
Alaskan Malamute;12;57;Black and Tan;Male
Samoyed;13;32;Tan;Female
Pekingese;9;28;Tricolor;Male
Bichon Frise;7;6;Sable;Female
Bull Terrier;4;59;Bicolor;Female
Bichon Frise;13;24;Merle;Male
Pekingese;14;11;Sable;Male
Yorkshire Terrier;9;33;Tricolor;Female
Pembroke Welsh Corgi;12;33;Red;Female
Chesapeake Bay Retriever;3;34;Black and White;Male
Chihuahua;9;36;Brindle;Male
Bloodhound;9;21;Brindle;Male
Pembroke Welsh Corgi;9;54;Gray;Male
Dachshund;13;42;Gray;Female
Bernese Mountain Dog;3;52;Tan;Male
Shiba Inu;6;44;Merle;Female
Whippet;11;41;Brindle;Male
Basenji;7;48;Brindle;Female
Beagle;6;36;Spotted;Female
Cavalier King Charles Spaniel;9;6;Merle;Female
Pomeranian;6;29;Tricolor;Female
Pembroke Welsh Corgi;9;39;Tan;Female
Saint Bernard;3;41;Tan;Male
Boston Terrier;12;47;Black and Tan;Male
Bulldog;1;16;Tan;Male
Bulldog;3;32;Cream;Male
Rottweiler;13;54;Merle;Female
Papillon;11;36;Brown;Female
Pekingese;12;45;Spotted;Male
Bichon Frise;1;5;Cream;Female
Jack Russell Terrier;14;8;Red;Male
Cocker Spaniel;3;7;Gray;Male
Basenji;10;7;Cream;Male
Border Collie;1;50;Gray;Male
Border Collie;9;22;Blue;Male
Boxer;10;17;Black;Male
Whippet;1;57;Blue;Male
Schnauzer;5;44;Black and White;Male
Cavalier King Charles Spaniel;5;46;Blue;Male
Doberman Pinscher;4;28;Brown;Male
Rottweiler;6;11;Cream;Female
Chinese Shar-Pei;12;27;Tan;Female
Saint Bernard;3;56;Black and White;Male
Boxer;11;19;Cream;Male
Great Dane;5;50;Black and Tan;Male
Jack Russell Terrier;1;5;Spotted;Female
Lhasa Apso;14;25;Brown;Female
Rottweiler;6;41;Gray;Male
Dogo Argentino;10;37;Brown;Male
French Bulldog;6;41;Black and Tan;Female
Rottweiler;13;23;Brindle;Male
Yorkshire Terrier;12;55;Black;Male
Vizsla;8;40;Brindle;Male
Poodle;12;30;Tricolor;Female
Chesapeake Bay Retriever;12;35;Gray;Male
Great Dane;14;36;Blue;Female
Irish Setter;8;20;Bicolor;Male
Bloodhound;14;29;Bicolor;Female
Rottweiler;2;27;Brindle;Female
Yorkshire Terrier;12;7;Merle;Female
German Shepherd;12;28;Bicolor;Female
Golden Retriever;3;38;White;Female
Pug;9;58;Sable;Female
Golden Retriever;14;47;Black and Tan;Male
Pembroke Welsh Corgi;8;57;Red;Female
Schnauzer;9;13;Black;Male
Dachshund;2;46;Black and White;Male
Boston Terrier;4;52;Cream;Male
Weimaraner;3;50;Brown;Male
Chihuahua;9;20;Black and White;Male
Papillon;8;24;Sable;Female
Rottweiler;2;19;Brown;Female
Pekingese;11;43;Cream;Female
Poodle;12;42;Black and Tan;Female
Chihuahua;10;40;Black;Male
Whippet;14;16;Brown;Female
Irish Setter;7;43;Bicolor;Male
Australian Shepherd;11;33;Sable;Male
Chinese Shar-Pei;1;40;Black and White;Male
Shiba Inu;13;47;Brindle;Female
Havanese;9;36;Merle;Female
Bichon Frise;5;50;Spotted;Male
Beagle;7;22;Sable;Male
Boxer;7;46;White;Female
German Shepherd;2;19;Black and White;Male
Pembroke Welsh Corgi;11;45;Blue;Male
Havanese;11;55;Black;Female
Beagle;11;40;Sable;Female
Basenji;4;42;Cream;Female
Weimaraner;1;36;Merle;Female
Siberian Husky;13;39;Cream;Female
Saint Bernard;12;51;Brindle;Female
Poodle;8;36;Tan;Female
Siberian Husky;2;24;Tan;Female
Miniature Schnauzer;8;24;Cream;Female
Labrador Retriever;2;42;White;Female
German Shepherd;6;28;Gray;Female
Boston Terrier;6;17;Cream;Male
Shih Tzu;12;51;Brown;Male
Border Collie;7;21;Tricolor;Female
Lhasa Apso;14;38;Cream;Male
Alaskan Malamute;8;35;Tricolor;Male
Shetland Sheepdog;13;32;Brown;Male
Chihuahua;10;43;Brown;Male
Shih Tzu;14;8;Tan;Male
Basenji;14;27;Brown;Female
French Bulldog;14;6;Sable;Male
Belgian Malinois;8;19;Sable;Female
Doberman Pinscher;9;32;White;Female
Poodle;10;5;Black;Female
Border Collie;5;48;Red;Female
Bichon Frise;6;14;White;Male
Alaskan Malamute;9;40;Gray;Male
Samoyed;12;19;Red;Male
Belgian Malinois;7;37;Spotted;Male
Shih Tzu;13;31;White;Female
Samoyed;9;17;White;Female
Lhasa Apso;6;57;White;Male
Doberman Pinscher;9;50;Red;Male
Pomeranian;9;19;Gray;Male
Schnauzer;5;24;Bicolor;Female
Bernese Mountain Dog;6;34;Spotted;Female
Great Dane;3;56;Black and White;Male
Shih Tzu;2;59;Cream;Female
Rottweiler;11;22;Brindle;Male
Border Collie;14;11;Blue;Male
Doberman Pinscher;2;52;Brindle;Female
Bulldog;8;38;Spotted;Female
Alaskan Malamute;13;18;Tricolor;Female
Jack Russell Terrier;10;27;Brindle;Female
Cavalier King Charles Spaniel;14;48;Blue;Female
Great Dane;13;5;Blue;Female
Yorkshire Terrier;8;27;Bicolor;Female
Bichon Frise;1;51;Bicolor;Female
Beagle;7;19;Black and White;Female
Rottweiler;4;41;Brindle;Female
Dogo Argentino;3;10;Black and Tan;Male
Border Collie;11;15;Black and White;Male
Pembroke Welsh Corgi;13;8;White;Male
Vizsla;2;9;Brown;Male
Pekingese;2;57;Black;Female
Rottweiler;12;57;Blue;Male
Boston Terrier;1;35;Red;Female
Pekingese;8;10;Blue;Female
Great Dane;10;16;Cream;Male
Havanese;8;18;Brindle;Female
Boxer;10;17;Black and White;Female
Labrador Retriever;14;12;Black and White;Female
Bloodhound;1;10;Merle;Male
Cocker Spaniel;4;15;Gray;Female
Rottweiler;10;35;Black and White;Male
Whippet;7;8;Bicolor;Female
Bloodhound;5;39;Merle;Male
French Bulldog;9;6;Black and Tan;Male
Cavalier King Charles Spaniel;2;48;Cream;Female
Vizsla;12;21;Brown;Male
Belgian Malinois;11;44;Spotted;Female
Poodle;5;22;White;Female
Pug;6;57;Bicolor;Female
Border Collie;5;51;Black and White;Male
Schnauzer;13;57;Brown;Male
Beagle;13;53;Blue;Male
Bernese Mountain Dog;11;12;Blue;Female
Pembroke Welsh Corgi;3;23;Gray;Male
Doberman Pinscher;11;26;Cream;Male
Schnauzer;11;27;Merle;Male
Schnauzer;7;35;Merle;Male
Boston Terrier;4;9;Black and White;Male
Border Collie;10;36;Black and White;Female
Bull Terrier;3;8;Brown;Male
Dogo Argentino;3;54;Bicolor;Female
Whippet;4;53;Bicolor;Male
Dachshund;1;14;Tricolor;Female
Bloodhound;12;14;Spotted;Male
Bulldog;1;39;Black and White;Female
Bull Terrier;7;43;Gray;Male
Australian Shepherd;5;35;Black and White;Male
Shih Tzu;4;17;Bicolor;Female
Saint Bernard;13;53;Tricolor;Female
Bloodhound;1;54;Spotted;Female
Pembroke Welsh Corgi;12;13;Gray;Male
Bull Terrier;1;51;Black and White;Female
Pembroke Welsh Corgi;9;29;Black and Tan;Male
Lhasa Apso;13;41;Brindle;Male
Weimaraner;9;14;Black and White;Male
Miniature Schnauzer;10;11;Brindle;Male
Pembroke Welsh Corgi;3;13;Black and Tan;Female
Chinese Shar-Pei;12;22;Spotted;Female
Akita;5;14;Tricolor;Male
Pug;11;6;Brindle;Female
Great Dane;5;41;Tricolor;Male
Boxer;10;5;Red;Female
Vizsla;14;46;Tan;Male
Yorkshire Terrier;11;19;Merle;Female
Doberman Pinscher;12;59;White;Male
Lhasa Apso;14;32;Bicolor;Female
Airedale Terrier;9;31;Black and White;Female
Great Dane;6;39;Black;Male
Bernese Mountain Dog;9;10;Red;Male
Cavalier King Charles Spaniel;3;12;Black;Male
Vizsla;13;55;Black and White;Male
Cavalier King Charles Spaniel;7;23;Cream;Female
Miniature Schnauzer;7;20;Red;Male
Siberian Husky;12;34;White;Female
German Shepherd;1;43;Cream;Female
Bichon Frise;11;21;Blue;Male
Dachshund;11;55;Brown;Female
French Bulldog;2;8;Brown;Male
Pug;6;54;Brindle;Female
Bichon Frise;4;10;Brindle;Female
Beagle;4;42;Tan;Male
Labrador Retriever;5;31;Blue;Female
Rottweiler;13;39;White;Female
Bernese Mountain Dog;11;38;Sable;Male
French Bulldog;2;29;Black and White;Male
Papillon;3;58;Cream;Male
Weimaraner;5;47;Gray;Female
Airedale Terrier;9;39;Brown;Female
Shetland Sheepdog;2;15;Merle;Female
Rottweiler;14;7;Brindle;Male
Yorkshire Terrier;4;6;Red;Female
Jack Russell Terrier;1;5;Cream;Female
Bloodhound;8;48;White;Female
West Highland White Terrier;9;16;Blue;Male
Chesapeake Bay Retriever;14;59;White;Male
Weimaraner;12;12;Bicolor;Male
Bulldog;14;40;Black and Tan;Male
Bichon Frise;3;22;Blue;Female
Shih Tzu;2;45;Black;Female
Shih Tzu;7;13;Sable;Female
Belgian Malinois;9;42;Black;Male
Yorkshire Terrier;14;37;Tan;Male
Beagle;14;6;Bicolor;Female
Cavalier King Charles Spaniel;3;46;Merle;Female
Siberian Husky;12;9;Tricolor;Female
Akita;11;51;Bicolor;Female
French Bulldog;9;22;Red;Female
Basenji;2;33;Blue;Male
Pug;8;36;Black and Tan;Male
Poodle;10;22;Merle;Male
Basenji;12;41;Tricolor;Male
Pekingese;11;5;Merle;Female
Dogo Argentino;5;50;Spotted;Male
Pomeranian;10;24;Brindle;Male
Vizsla;5;30;Cream;Female
Havanese;11;34;Bicolor;Male
Weimaraner;3;12;Sable;Female
Alaskan Malamute;5;31;Gray;Female
Akita;8;11;Cream;Female
Beagle;4;36;Red;Female
Beagle;5;50;Bicolor;Male
Maltese;8;8;White;Female
Siberian Husky;1;9;Bicolor;Male
Doberman Pinscher;5;6;Gray;Female
Schnauzer;5;17;Tricolor;Male
Lhasa Apso;12;56;Gray;Female
Vizsla;9;13;Spotted;Male
Labrador Retriever;11;38;White;Female
Dachshund;8;38;Tan;Male
Rottweiler;9;34;Black;Male
Airedale Terrier;13;34;White;Female
Bulldog;6;27;Brindle;Male
Schnauzer;11;30;Black and Tan;Female
Dachshund;7;34;Spotted;Female
Pekingese;12;8;Tan;Male
Chesapeake Bay Retriever;3;47;Blue;Female
Belgian Malinois;12;32;Merle;Female
Lhasa Apso;13;45;Black and White;Male
Shih Tzu;9;57;Black;Male
Cocker Spaniel;9;49;Brindle;Male
Belgian Malinois;9;18;Red;Male
Siberian Husky;14;31;Brown;Female
Airedale Terrier;1;49;Gray;Male
Chinese Shar-Pei;1;29;Blue;Male
Alaskan Malamute;2;39;White;Male
Pug;13;53;Spotted;Male
Whippet;1;30;Brown;Female
Vizsla;6;42;Black and Tan;Female
Chihuahua;9;36;Cream;Female
Weimaraner;12;20;Cream;Male
Whippet;13;27;Black and White;Female
Bulldog;4;38;Brindle;Female
Whippet;1;16;Tricolor;Female
Jack Russell Terrier;13;43;Brown;Female
Labrador Retriever;5;43;Black and White;Male
Rottweiler;13;22;Gray;Female
Vizsla;3;33;Red;Female
Pembroke Welsh Corgi;2;48;Black and Tan;Female
Airedale Terrier;10;25;Tricolor;Male
Poodle;9;49;Bicolor;Female
Basenji;10;41;Tricolor;Female
Irish Setter;5;13;Cream;Female
Pug;11;52;White;Female
Pug;2;10;Brown;Male
Dachshund;7;35;Sable;Female
Poodle;2;56;Brown;Female
Havanese;3;52;Merle;Female
Jack Russell Terrier;4;56;Brindle;Male
French Bulldog;1;7;Brown;Female
Bloodhound;5;25;Spotted;Female
Lhasa Apso;6;29;Red;Female
Miniature Schnauzer;11;49;Red;Female
Cavalier King Charles Spaniel;4;18;Black and Tan;Female
Pug;14;24;Red;Male
Schnauzer;9;38;Sable;Female
West Highland White Terrier;8;43;Merle;Male
Jack Russell Terrier;12;33;Brown;Male
Shetland Sheepdog;9;21;Gray;Male
Chesapeake Bay Retriever;10;24;Black;Male
Dachshund;11;41;Tan;Female
Airedale Terrier;9;20;Tricolor;Male
Schnauzer;11;42;Sable;Female
Cocker Spaniel;3;59;Cream;Female
Golden Retriever;6;43;White;Female
Cocker Spaniel;4;15;Bicolor;Male
Schnauzer;8;46;Bicolor;Female
Whippet;13;59;Bicolor;Female
Cocker Spaniel;7;56;White;Female
Bull Terrier;4;24;Merle;Female
Bull Terrier;6;58;Merle;Female
Chesapeake Bay Retriever;12;46;Red;Female
Airedale Terrier;13;47;Tricolor;Female
Papillon;6;14;Red;Female
Airedale Terrier;5;18;Black and White;Male
Cavalier King Charles Spaniel;4;14;Spotted;Male
Bull Terrier;3;34;Spotted;Female
Siberian Husky;2;6;Tan;Female
Pug;13;58;Tan;Female
Pug;10;24;Blue;Female
Beagle;7;37;Blue;Male
Bulldog;11;39;Black and Tan;Female
Samoyed;13;35;Sable;Female
Boston Terrier;1;58;Blue;Male
Cavalier King Charles Spaniel;1;41;Brown;Female
Siberian Husky;7;31;Sable;Male
Dogo Argentino;4;45;Brindle;Male
Chesapeake Bay Retriever;10;5;Black and Tan;Male
Border Collie;9;22;White;Female
Miniature Schnauzer;4;36;Gray;Female
Beagle;12;28;Cream;Male
Golden Retriever;4;37;White;Male
Border Collie;14;22;Blue;Female
Irish Setter;11;12;White;Male
Bernese Mountain Dog;8;12;Tan;Male
Shih Tzu;10;59;Sable;Male
Bichon Frise;5;58;Blue;Female
Vizsla;12;21;Black and Tan;Male
Samoyed;13;47;Tan;Male
Shetland Sheepdog;9;35;Merle;Female
Alaskan Malamute;7;35;Gray;Female
Poodle;7;59;Blue;Male
Rottweiler;8;39;Gray;Male
Bernese Mountain Dog;3;30;Spotted;Female
Siberian Husky;6;23;Black and Tan;Male
Papillon;5;14;Gray;Female
Beagle;12;23;Black and Tan;Male
Jack Russell Terrier;11;25;Sable;Male
Boxer;12;17;Merle;Male
Dachshund;11;20;Red;Female
Yorkshire Terrier;13;26;Bicolor;Male
Border Collie;13;47;Bicolor;Male
Pug;1;43;Black and Tan;Male
Schnauzer;6;26;Merle;Male
Cavalier King Charles Spaniel;10;16;Black and Tan;Female
Vizsla;7;55;Black and White;Male
Bloodhound;14;10;Blue;Male
Lhasa Apso;7;26;White;Female
Beagle;12;59;Brindle;Male
Lhasa Apso;12;27;Brindle;Male
Beagle;9;48;Cream;Female
German Shepherd;14;31;Black and White;Female
Jack Russell Terrier;11;22;Brown;Male
German Shepherd;6;13;Bicolor;Female
Shetland Sheepdog;3;22;Black and White;Male
Irish Setter;13;26;White;Male
Labrador Retriever;13;56;Cream;Male
Pomeranian;4;7;Bicolor;Male
Weimaraner;8;52;Blue;Female
Border Collie;10;53;Gray;Female
Boston Terrier;4;53;Bicolor;Female
Boston Terrier;6;46;White;Female
Bull Terrier;11;34;Red;Male
Akita;2;30;Black;Male
Rottweiler;2;24;Spotted;Female
Irish Setter;1;37;White;Male
Cavalier King Charles Spaniel;5;17;Merle;Male
Bichon Frise;10;54;Brindle;Male
Weimaraner;14;52;Brindle;Male
Boxer;12;58;Red;Female
Yorkshire Terrier;11;43;Blue;Male
Papillon;13;49;Tan;Female
Boston Terrier;14;22;Gray;Female
Havanese;12;34;Merle;Female
Lhasa Apso;11;9;Black and White;Male
Bull Terrier;4;27;Blue;Male
Alaskan Malamute;4;19;Tricolor;Female
West Highland White Terrier;5;41;White;Male
Shih Tzu;11;54;Blue;Male
Jack Russell Terrier;4;21;Black and White;Male
Boxer;10;20;Black;Female
Bichon Frise;6;36;Brown;Male
Border Collie;14;22;Blue;Female
Vizsla;13;5;Black and Tan;Female
Akita;9;20;Black and Tan;Male
Beagle;2;7;Brindle;Male
Belgian Malinois;11;34;Black and White;Male
Samoyed;14;44;Black;Male
Vizsla;10;50;Sable;Female
Beagle;4;39;Cream;Female
Shetland Sheepdog;1;18;Bicolor;Male
French Bulldog;7;55;Black and Tan;Male
Pembroke Welsh Corgi;5;35;Black and White;Female
West Highland White Terrier;8;8;Red;Male
Pembroke Welsh Corgi;7;38;Red;Female
Pekingese;6;59;Spotted;Male
Chihuahua;7;57;Black and Tan;Male
Cocker Spaniel;1;40;Gray;Male
Border Collie;8;24;White;Male
Alaskan Malamute;8;9;Red;Male
Pug;14;16;Brown;Female
Saint Bernard;2;55;Black and White;Male
Papillon;1;42;Spotted;Female
Doberman Pinscher;11;19;Blue;Male
Pug;14;52;Sable;Male
Dachshund;12;17;Blue;Male
Boxer;12;43;Brindle;Female
Saint Bernard;3;47;Tan;Female
Bernese Mountain Dog;12;54;Tricolor;Female
Border Collie;7;33;Black and Tan;Male
Chinese Shar-Pei;7;25;Black and White;Female
Australian Shepherd;8;37;Brown;Male
Bichon Frise;5;48;Spotted;Male
Bulldog;4;11;Tan;Female
Bloodhound;4;19;Black;Female
